ID,age,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season_no,total_season,block_id
38,22.0,57,27.4,5.7,6.7,4.1,0.037,0.124,0.33,0.575,0.33,3,3,21
133,24.0,19,2.8,2.5,1.2,4.9,0.093,0.152,0.0969999999999999,0.713,0.161,1,3,79
133,25.0,43,4.3,3.0,1.1,2.1,0.057,0.161,0.124,0.608,0.111,2,3,79
133,26.0,72,4.8,4.6,1.5,2.7,0.059,0.182,0.0969999999999999,0.615,0.109,3,3,79
255,24.0,73,16.2,3.3,2.1,-0.3,0.03,0.076,0.247,0.51,0.104,1,3,142
255,25.0,67,17.2,2.9,2.3,4.5,0.026,0.069,0.256,0.515,0.1119999999999999,2,3,142
255,26.0,32,18.4,3.2,2.8,11.0,0.03,0.08,0.283,0.515,0.147,3,3,142
381,23.0,14,1.2,0.7,0.2,-6.0,0.109,0.119,0.177,0.507,0.086,1,3,212
381,24.0,41,2.1,1.2,0.3,-17.5,0.035,0.136,0.132,0.547,0.073,2,3,212
381,25.0,15,4.1,2.1,1.1,0.8,0.0409999999999999,0.133,0.131,0.657,0.139,3,3,212
371,23.0,40,9.4,2.2,2.6,0.1,0.018,0.093,0.186,0.617,0.182,1,3,209
371,24.0,63,13.0,2.3,3.1,4.3,0.022,0.076,0.239,0.5489999999999999,0.21,2,3,209
371,25.0,55,8.2,2.6,2.5,-1.0,0.025,0.094,0.174,0.517,0.178,3,3,209
331,25.0,52,5.1,3.5,1.0,2.4,0.037,0.168,0.162,0.486,0.094,1,3,186
331,26.0,51,8.2,4.4,1.4,-5.4,0.0289999999999999,0.147,0.133,0.597,0.088,2,3,186
331,27.0,49,3.3,3.0,0.7,2.3,0.039,0.187,0.124,0.495,0.078,3,3,186
294,27.0,49,12.7,4.9,2.7,-4.1,0.021,0.144,0.184,0.5479999999999999,0.139,1,3,161
294,28.0,57,6.5,3.2,1.3,1.6,0.02,0.142,0.127,0.636,0.094,2,3,161
294,29.0,63,7.4,3.2,1.0,2.8,0.022,0.136,0.156,0.561,0.072,3,3,161
50,34.0,62,10.3,3.5,2.5,-1.4,0.015,0.096,0.162,0.513,0.132,1,3,29
50,35.0,56,7.6,2.9,2.2,1.5,0.019,0.0819999999999999,0.126,0.525,0.104,2,3,29
50,36.0,59,5.2,2.4,1.3,-13.7,0.024,0.106,0.136,0.494,0.102,3,3,29
332,26.0,63,10.9,9.3,2.3,4.4,0.128,0.214,0.168,0.604,0.128,1,3,187
332,27.0,58,7.6,8.9,1.9,-0.1,0.132,0.187,0.118,0.596,0.088,2,3,187
332,28.0,76,6.9,10.0,3.4,8.3,0.159,0.198,0.118,0.56,0.155,3,3,187
430,32.0,66,5.4,2.4,0.7,0.6,0.054,0.092,0.161,0.5539999999999999,0.068,1,3,238
430,33.0,71,9.0,3.8,0.8,-1.1,0.0969999999999999,0.092,0.1689999999999999,0.6609999999999999,0.06,2,3,238
430,34.0,36,7.1,3.5,1.5,-6.4,0.098,0.089,0.182,0.57,0.142,3,3,238
